headword,pos,ipa,definition,example,gloss_de,etymology,mnemonic,tags,freq
Gestalt,noun,/ɡəˈʃtælt/,An organized whole that is perceived as more than the sum of its parts.,"The team's performance was a perfect gestalt, superior to individual efforts.",Gestalt,German 'shape/form',"Guess-Tall: The tall guy guessed the WHOLE shape.",psychology,1
Entropy,noun,/ˈɛntrəpi/,Lack of order or predictability; gradual decline into disorder.,"The system fought against increasing entropy as the code decayed.",Entropie,Greek 'entropia' (turning towards),"Enter-Pea: If a pea enters a clean room, it creates DISORDER.",physics,2
Heuristic,adj,/hjʊˈrɪstɪk/,Proceeding to a solution by trial and error or by rules that are only loosely defined.,"The AI used a heuristic approach to solve the maze faster.",Heuristisch,Greek 'heuriskein' (to find),"He-Rips-Stick: He finds a stick to solve the problem (shortcut).",logic,3
Recursive,adj,/rɪˈkəːsɪv/,Characterized by recurrence or repetition.,"The fractal pattern was infinitely recursive.",Rekursiv,Latin 'recurrere' (to run back),"Re-Curse: You curse again and again (loop).",math,4
Paradigm,noun,/ˈparədʌɪm/,A typical example or pattern of something; a model.,"The discovery shifted the scientific paradigm entirely.",Paradigma,Greek 'paradeigma' (pattern),"Para-Dime: A pair of dimes is a MODEL for wealth.",philosophy,5
Ephemeral,adj,/əˈfɛm(ə)rəl/,Lasting for a very short time.,"Digital data can be surprisingly ephemeral if not backed up.",Vergänglich,Greek 'ephemeros' (lasting one day),"E-Fem-Oral: Feminine beauty is often called fleeting/ephemeral.",literary,6
Latency,noun,/ˈleɪt(ə)nsi/,The delay before a transfer of data begins following an instruction.,"High latency made the neural link feel sluggish.",Latenz,Latin 'latere' (to lie hidden),"Late-N-See: You arrive Late and See nothing (delay).",tech,7
Protocol,noun,/ˈprəʊtəkɒl/,The official procedure or system of rules governing affairs of state or diplomatic occasions.,"Handshake protocol initiated.",Protokoll,Greek 'protokollon' (first page),"Proto-Call: The FIRST CALL determines the rules.",tech,8
Algorithm,noun,/ˈælɡərɪð(ə)m/,A process or set of rules to be followed in calculations.,"The algorithm predicted the stock crash.",Algorithmus,Arabic 'al-Khwarizmi' (mathematician),"Al-Gore-Rhythm: Al Gore dancing to a set of RULES.",math,9
Synthesize,verb,/ˈsɪnθəsʌɪz/,Combine (a number of things) into a coherent whole.,"The implants synthesize sensory data into vision.",Synthetisieren,Greek 'suntithenai' (place together),"Synth-Size: Combine sounds to make a huge SIZE.",science,10
Cognitive,adj,/ˈkɒɡnɪtɪv/,Relating to the mental action or process of acquiring knowledge.,"Cognitive functions remained stable after the upload.",Kognitiv,Latin 'cognoscere' (to know),"Cog-Native: The Gear (Cog) is NATIVE to the brain.",biology,11
Dissonance,noun,/ˈdɪs(ə)nəns/,Lack of harmony among musical notes or ideas.,"Cognitive dissonance occurred when the simulation failed.",Dissonanz,Latin 'dissonare' (to sound apart),"Diss-Son: The son disses his dad creates DISHARMONY.",music,12
Encryption,noun,/ɛnˈkrɪpʃn/,The process of converting information or data into a code.,"Military-grade encryption protected the shard.",Verschlüsselung,Greek 'kryptos' (hidden),"En-Crypt: Put it IN a CRYPT (hidden).",security,13
Bifurcate,verb,/ˈbʌɪfəkeɪt/,Divide into two branches or forks.,"The timeline began to bifurcate after the anomaly.",Gabeln,Latin 'bifurcus' (two-forked),"Bi-Fur-Cat: A cat with TWO fur coats branching off.",biology,14
Nexus,noun,/ˈnɛksəs/,A connection or series of connections linking two or more things.,"The city was the nexus of the dark web.",Verbindung,Latin 'nectere' (to bind),"Next-Us: The thing connecting the person NEXT to US.",structure,15
Obfuscate,verb,/ˈɒbfʌskeɪt/,Render obscure, unclear, or unintelligible.,"The code was written to obfuscate its true purpose.",Verdunkeln,Latin 'obfuscare' (to darken),"Ob-Fuss-Kate: Kate made a FUSS to HIDE the truth.",logic,16
Quantum,noun,/ˈkwɒntəm/,A discrete quantity of energy proportional in magnitude to the frequency of the radiation it represents.,"Quantum computing changed everything.",Quanten,Latin 'quantus' (how great),"Quan-Tom: Tom is a small discrete UNIT.",physics,17
Resonance,noun,/ˈrɛz(ə)nəns/,The quality in a sound of being deep, full, and reverberating.,"The idea found resonance within the hacker community.",Resonanz,Latin 'resonantia' (echo),"Res-On-Ants: The sound vibrated ON the ANTS.",physics,18
Symbiosis,noun,/sɪmbʌɪˈəʊsɪs/,Interaction between two different organisms living in close physical association.,"Man and machine achieved perfect symbiosis.",Symbiose,Greek 'symbiosis' (living together),"Sim-Bio-Sis: The SIMs and my BIO SISter live together.",biology,19
Zenith,noun,/ˈzɛnɪθ/,The time at which something is most powerful or successful.,"The corporation reached its zenith in 2077.",Zenit,Arabic 'samt-ar-ras' (path over head),"Zen-ith: The peak of ZEN is the top.",astronomy,20